test case,execution time (seconds),execution time (minutes),completed paths,generated tests,total instructions,status,error message,output directory
test_oct0,1090,18.166666666666668,11,11,396634,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-4
test_oct1,1339,22.316666666666666,11,11,403337,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-8
test_oct2,3138,52.3,11,11,415450,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-12
test_oct3,17702,295.03333333333336,11,3,648999,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct3.c:21: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-15
test_oct4,16706,278.43333333333334,11,3,563030,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct4.c:20: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-24
test_oct15,2280,38.0,11,11,417307,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-6
test_oct16,3343,55.71666666666667,11,7,469293,FAIL,"KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct16.c:21: ASSERTION FAIL: opt_oct_is_eq(man, opt_oct_meet(man, false, top, octagon1), octagon1)",/home/klee/elina/elina_oct/tests/klee-out-11
test_oct17,14862,247.7,11,11,598724,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-16
test_oct18,6983,116.38333333333334,11,11,563803,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-23
test_oct19,19989,333.15,11,11,678387,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-26
test_oct20,17384,289.73333333333335,11,11,662721,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-2
test_oct21,2738,45.63333333333333,11,7,458416,FAIL,"KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct21.c:21: ASSERTION FAIL: opt_oct_is_eq(man, opt_oct_meet(man, false, octagon1, octagon1), octagon1)",/home/klee/elina/elina_oct/tests/klee-out-20
test_oct22,16769,279.48333333333335,11,4,572007,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct22.c:22: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-21
test_oct23,14162,236.03333333333333,11,3,595625,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct23.c:22: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-29
test_oct24,11416,190.26666666666668,11,9,632956,FAIL,"KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct24.c:22: ASSERTION FAIL: opt_oct_is_eq(man, opt_oct_meet(man, false, octagon1, opt_oct_join(man, false, octagon1, octagon2)), octagon1)",/home/klee/elina/elina_oct/tests/klee-out-36
test_oct25,30296,504.93333333333334,11,6,724151,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct25.c:26: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-7
test_oct26,13902,231.7,11,5,642541,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct26.c:26: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-27
test_oct27,6028,100.46666666666667,11,11,520067,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-34
test_oct28,10547,175.78333333333333,11,11,601113,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-35
test_oct29,1312,21.866666666666667,11,11,414790,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-38
test_oct30,1458,24.3,11,11,410356,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-1
test_oct31,10682,178.03333333333333,11,11,562318,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-9
test_oct32,20079,334.65,11,11,664780,PASS,-,/home/klee/elina/elina_oct/tests/klee-out-19
test_oct33,11545,192.41666666666666,11,9,564574,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct33.c:22: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-28
test_oct34,4136,68.93333333333334,11,7,511377,FAIL,KLEE: ERROR: /home/klee/elina/elina_oct/tests/test_oct34.c:22: invalid klee_assume call (provably false),/home/klee/elina/elina_oct/tests/klee-out-33
